owner,name,language,stargazers_count,commit_count,branch_count,release_count,open_issues_count,contributor_count,forks_count,license,created_at,pushed_at,updated_at
Microsoft,ChakraCore,JavaScript,5722,3,9,71,217,3,649,Other,2016-01-05T19:05:31Z,2016-11-03T20:09:51Z,2016-11-02T22:44:23Z
karpathy,convnetjs,JavaScript,5718,87,1,14,41,1,1127,MIT License,2014-01-05T00:12:15Z,2016-09-26T16:34:32Z,2016-11-03T17:10:31Z
rethinkdb,horizon,JavaScript,5708,975,211,56,209,19,269,MIT License,2015-10-28T05:33:14Z,2016-11-03T18:16:16Z,2016-11-03T16:49:47Z
dmlc,mxnet,C++,5697,4,4,188,770,15,2178,Other,2015-04-30T16:21:15Z,2016-11-03T19:06:58Z,2016-11-03T18:36:17Z
taye,interact.js,JavaScript,5687,1,3,29,51,39,369,MIT License,2012-10-21T10:05:19Z,2016-10-12T19:29:00Z,2016-11-03T16:44:13Z
google,physical-web,Java,5687,1,11,49,43,19,688,Apache License 2.0,2014-09-30T18:32:14Z,2016-10-06T00:57:38Z,2016-11-03T20:01:08Z
breach,breach_core,JavaScript,5684,270,2,16,65,0,518,MIT License,2013-09-20T16:05:01Z,2015-11-04T18:47:24Z,2016-11-03T15:28:40Z
gatsbyjs,gatsby,JavaScript,5682,634,67,81,86,112,278,MIT License,2015-05-21T22:43:05Z,2016-11-03T01:22:47Z,2016-11-03T18:12:41Z
HubSpot,vex,CSS,5679,341,6,23,57,27,391,MIT License,2013-09-05T23:09:57Z,2016-10-03T10:06:07Z,2016-11-03T17:45:36Z
square,dagger,Java,5676,699,23,16,64,11,1596,Apache License 2.0,2012-08-02T23:25:32Z,2016-09-15T19:52:46Z,2016-11-03T20:00:18Z
boto,boto,Python,5674,7,13,502,1074,82,2080,MIT License,2010-07-12T19:15:33Z,2016-10-21T21:17:37Z,2016-11-03T07:41:50Z
flynn,flynn,Go,5674,6,24,105,384,518,393,Other,2013-07-09T18:22:06Z,2016-11-03T17:43:14Z,2016-11-03T15:31:55Z
gaearon,react-hot-loader,JavaScript,5668,304,5,47,22,66,307,None,2014-07-12T23:49:43Z,2016-11-02T16:25:33Z,2016-11-03T18:03:09Z
twitter,twemoji,JavaScript,5667,183,9,27,9,28,677,MIT License,2014-11-06T21:49:34Z,2016-10-10T10:52:28Z,2016-11-03T15:24:34Z
mame,quine-relay,Ruby,5665,311,3,701516,6,0,302,None,2013-07-15T13:29:20Z,2016-10-18T12:30:18Z,2016-11-03T09:25:30Z
fatih,vim-go,VimL,5662,1,2,156,39,16,550,Other,2014-03-24T13:12:26Z,2016-11-01T18:21:19Z,2016-11-03T19:35:44Z
CodeSeven,toastr,JavaScript,5660,398,6,57,32,13,999,None,2012-05-01T01:38:04Z,2016-11-01T14:33:34Z,2016-11-03T16:44:49Z
spotify,luigi,Python,5656,3,3,261,207,26,1077,Apache License 2.0,2012-09-20T15:06:38Z,2016-11-03T08:22:19Z,2016-11-03T18:18:58Z
yyuu,pyenv,Shell,5653,1,7,141,54,64,450,MIT License,2012-08-31T06:57:52Z,2016-11-01T12:43:30Z,2016-11-03T19:15:13Z
facebook,facebook-ios-sdk,Objective-C,5646,602,6,41,11,91,2251,Other,2010-06-24T22:11:03Z,2016-10-31T10:07:30Z,2016-11-03T06:25:55Z
mozilla,togetherjs,JavaScript,5631,2,7,16,152,16,662,Mozilla Public License 2.0,2012-12-05T00:15:41Z,2016-04-09T14:53:35Z,2016-11-03T16:57:00Z
IBAnimatable,IBAnimatable,Swift,5627,1,5,21,36,17,495,MIT License,2015-11-17T23:55:21Z,2016-10-23T01:01:40Z,2016-11-03T15:17:25Z
highcharts,highcharts,JavaScript,5625,7,44,57,1257,119,1870,Other,2010-06-11T12:23:53Z,2016-11-03T14:58:59Z,2016-11-03T13:08:09Z
CreateJS,EaselJS,JavaScript,5622,1,6,37,150,14,1559,MIT License,2011-01-22T01:36:07Z,2016-10-25T17:11:51Z,2016-11-03T20:01:01Z
brillout,awesome-react-components,,5618,87,1,6,3,0,227,Creative Commons Zero v1.0 Universal,2016-06-24T15:19:33Z,2016-11-02T14:14:31Z,2016-11-03T19:40:39Z
maxogden,art-of-node,JavaScript,5612,207,2,35,7,0,530,Other,2013-03-21T19:17:16Z,2016-09-28T17:38:01Z,2016-11-03T15:32:39Z
iissnan,hexo-theme-next,JavaScript,5602,816,5,81,281,13,1788,None,2014-12-01T14:07:07Z,2016-11-03T09:11:10Z,2016-11-03T17:01:13Z
ibireme,YYText,Objective-C,5601,154,1,16,134,28,932,MIT License,2015-11-05T13:13:53Z,2016-10-09T07:22:56Z,2016-11-03T12:37:23Z
brunch,brunch,JavaScript,5589,2,3,113,65,111,409,None,2011-01-21T00:59:55Z,2016-10-26T08:01:43Z,2016-11-03T15:19:42Z
mishoo,UglifyJS2,JavaScript,5584,911,3,91,287,63,618,"BSD 2-clause ""Simplified"" License",2012-08-27T09:31:03Z,2016-11-03T14:39:31Z,2016-11-03T12:33:12Z
googlecreativelab,anypixel,C,5582,35,2,10,7,1,440,Apache License 2.0,2016-06-02T13:36:47Z,2016-10-11T23:22:48Z,2016-11-02T19:32:32Z
davidsonfellipe,awesome-wpo,,5579,358,1,55,1,0,431,MIT License,2014-10-14T15:18:35Z,2016-10-27T16:13:33Z,2016-11-02T22:36:43Z
kataras,iris,Go,5574,360,2,1,3,1,333,Other,2016-01-30T04:36:48Z,2016-11-01T11:22:26Z,2016-11-03T17:03:11Z
sovereign,sovereign,Python,5567,895,2,81,35,0,506,Other,2013-08-19T22:09:16Z,2016-10-31T23:03:54Z,2016-11-03T18:52:07Z
yeoman,generator-angular,JavaScript,5566,750,1,106,90,44,1567,None,2012-11-21T22:43:39Z,2016-10-20T01:05:33Z,2016-11-03T19:11:12Z
antirez,disque,C,5562,602,1,54,39,1,333,"BSD 3-clause ""New"" or ""Revised"" License",2015-04-27T16:06:09Z,2016-10-17T14:39:37Z,2016-11-03T15:53:06Z
Bearded-Hen,Android-Bootstrap,Java,5554,305,3,22,11,4,1276,MIT License,2013-11-01T15:36:17Z,2016-07-02T10:27:55Z,2016-11-03T10:15:54Z
hashicorp,vault,Go,5554,4,15,218,188,30,617,Mozilla Public License 2.0,2015-02-25T00:15:59Z,2016-11-03T05:52:24Z,2016-11-03T20:23:19Z
jquery-ui-bootstrap,jquery-ui-bootstrap,HTML,5552,288,7,26,39,10,897,None,2011-12-08T10:49:16Z,2015-11-28T23:11:55Z,2016-11-03T16:54:01Z
sebastianbergmann,phpunit,PHP,5551,7,32,208,149,410,1301,"BSD 3-clause ""New"" or ""Revised"" License",2009-12-24T13:16:23Z,2016-11-01T11:45:01Z,2016-11-03T11:35:43Z
astuetz,PagerSlidingTabStrip,Java,5550,31,2,6,206,2,2702,None,2013-04-26T22:36:42Z,2016-09-21T13:23:55Z,2016-11-03T14:34:08Z
svg,svgo,JavaScript,5544,771,2,65,114,54,422,MIT License,2012-08-22T10:41:43Z,2016-10-17T15:54:07Z,2016-11-03T15:33:10Z
neutraltone,awesome-stock-resources,,5544,404,5,32,12,35,280,Creative Commons Zero v1.0 Universal,2015-10-31T15:45:23Z,2016-11-01T14:23:00Z,2016-11-03T15:55:58Z
madrobby,keymaster,JavaScript,5523,144,2,29,69,5,392,MIT License,2011-08-27T19:00:25Z,2016-06-07T11:18:11Z,2016-11-03T14:32:30Z
novus,nvd3,JavaScript,5521,2,10,201,383,17,1920,Other,2012-11-15T18:51:59Z,2016-11-02T20:26:31Z,2016-11-03T16:24:10Z
google,xi-editor,Rust,5520,233,2,30,46,0,176,Apache License 2.0,2016-04-26T23:03:23Z,2016-10-19T12:46:58Z,2016-11-03T17:32:40Z
plotly,plotly.js,JavaScript,5517,11,19,56,231,48,509,MIT License,2015-11-05T23:27:17Z,2016-11-02T18:19:19Z,2016-11-03T15:48:37Z
Microsoft,WinObjC,Objective-C++,5506,2,7,66,270,41,720,MIT License,2015-06-23T23:14:58Z,2016-11-03T19:44:33Z,2016-11-03T15:13:28Z
angular-fullstack,generator-angular-fullstack,JavaScript,5504,2,24,146,165,75,1145,None,2013-10-27T21:56:18Z,2016-11-01T22:17:34Z,2016-11-03T15:46:39Z
shadowsocks,shadowsocks-android,Scala,5502,1,1,22,2,91,3302,GNU General Public License v3.0,2012-12-16T13:40:29Z,2016-11-03T13:20:13Z,2016-11-03T15:26:33Z
robertdavidgraham,masscan,C,5499,418,4,18,162,6,911,Other,2013-07-28T05:35:33Z,2016-11-03T10:51:53Z,2016-11-03T18:45:01Z
square,crossfilter,JavaScript,5483,76,2,9,1,23,1271,Other,2012-03-02T02:10:44Z,2016-03-14T02:34:27Z,2016-11-02T12:00:48Z
celery,celery,Python,5478,10,34,466,165,163,1792,Other,2009-04-24T11:31:24Z,2016-11-03T20:22:31Z,2016-11-03T14:14:43Z
liuliu,ccv,C,5473,903,11,5,76,0,1348,Other,2010-09-15T15:59:47Z,2016-11-03T06:40:36Z,2016-11-03T06:58:23Z
joshuaclayton,blueprint-css,CSS,5472,473,4,16,10,9,627,MIT License,2008-08-07T12:58:22Z,2016-06-27T05:08:49Z,2016-11-03T18:53:20Z
coodict,javascript-in-one-pic,,5470,93,3,9,9,0,663,MIT License,2015-06-24T15:09:02Z,2016-06-22T16:06:42Z,2016-11-03T01:09:51Z
zendframework,zendframework,,5468,27,3,691,18,80,3144,"BSD 3-clause ""New"" or ""Revised"" License",2010-06-04T02:42:05Z,2016-07-11T13:12:45Z,2016-11-03T06:24:50Z
PowerShell,PowerShell,C#,5467,4,2,97,449,24,626,MIT License,2016-01-13T23:41:35Z,2016-11-03T19:54:03Z,2016-11-03T18:09:10Z
umano,AndroidSlidingUpPanel,Java,5464,339,2,42,130,8,1743,Apache License 2.0,2013-05-31T18:33:53Z,2016-10-25T23:09:53Z,2016-11-03T14:31:34Z
progit,progit,Ruby,5462,4,2,386,24,0,2433,None,2009-07-27T04:52:25Z,2016-10-23T21:07:59Z,2016-11-03T00:28:24Z
cyclejs,cyclejs,JavaScript,5456,2,12,69,63,88,168,MIT License,2014-11-07T11:28:45Z,2016-11-03T19:21:15Z,2016-11-03T19:09:50Z
FFmpeg,FFmpeg,C,5454,82,24,826,15,250,2856,Other,2011-04-14T14:12:38Z,2016-11-03T18:15:09Z,2016-11-03T09:42:09Z
AngularClass,angular2-webpack-starter,JavaScript,5453,1,14,133,175,10,2975,MIT License,2015-03-07T22:25:10Z,2016-11-03T19:54:14Z,2016-11-03T18:50:09Z
memcached,memcached,C,5445,1,5,100,21,59,1896,"BSD 3-clause ""New"" or ""Revised"" License",2009-04-24T23:34:25Z,2016-11-02T18:19:27Z,2016-11-03T14:26:22Z
middleman,middleman,Ruby,5444,3,11,153,137,267,546,MIT License,2009-07-27T21:41:11Z,2016-11-01T14:07:38Z,2016-11-03T13:00:48Z
Quick,Quick,Swift,5441,1,1,94,47,18,526,Apache License 2.0,2014-06-05T00:29:53Z,2016-11-01T05:19:27Z,2016-11-03T14:51:14Z
kien,ctrlp.vim,VimL,5439,450,3,13,160,21,425,None,2011-09-05T23:36:43Z,2016-11-02T04:50:00Z,2016-11-03T07:37:45Z
aFarkas,lazysizes,JavaScript,5432,574,2,26,58,67,347,MIT License,2014-10-11T21:03:26Z,2016-11-02T18:06:05Z,2016-11-03T16:51:55Z
baconjs,bacon.js,CoffeeScript,5426,2,99,84,63,184,305,MIT License,2012-03-02T19:21:42Z,2016-10-07T08:43:28Z,2016-11-03T18:38:54Z
cmusatyalab,openface,Python,5425,703,2,15,36,4,958,Apache License 2.0,2015-09-16T12:47:27Z,2016-11-01T23:24:47Z,2016-11-03T16:44:46Z
HelloZeroNet,ZeroNet,Python,5415,762,1,38,199,6,604,GNU General Public License v2.0,2015-01-12T00:41:38Z,2016-10-27T07:12:18Z,2016-11-03T14:46:47Z
junit-team,junit4,Java,5410,2,6,129,158,20,2113,Eclipse Public License 1.0,2009-01-13T03:41:26Z,2016-11-01T09:48:02Z,2016-11-03T16:41:48Z
jsdoc3,jsdoc,JavaScript,5410,1,8,76,191,30,718,Other,2010-03-13T09:18:03Z,2016-10-26T14:55:21Z,2016-11-03T16:41:42Z
aspnet,Home,PowerShell,5405,370,22,46,612,22,1476,Other,2014-03-11T06:09:42Z,2016-10-26T22:06:59Z,2016-11-03T19:31:11Z
stubbornella,oocss,JavaScript,5399,153,4,20,75,2,704,"BSD 3-clause ""New"" or ""Revised"" License",2009-01-28T02:13:19Z,2013-09-26T13:10:02Z,2016-11-03T05:42:00Z
android-cn,android-open-project-analysis,,5396,1,3,16,4,0,2263,Apache License 2.0,2014-06-23T16:20:15Z,2016-07-02T09:35:09Z,2016-11-03T15:55:29Z
NaturalNode,natural,JavaScript,5395,978,3,76,69,22,502,MIT License,2011-05-07T02:35:16Z,2016-10-11T11:21:57Z,2016-11-03T17:50:51Z
lra,mackup,Python,5394,1,2,182,176,42,479,GNU General Public License v3.0,2013-04-06T19:22:54Z,2016-10-29T14:17:33Z,2016-11-03T12:51:19Z
Seldaek,monolog,PHP,5391,1,2,256,26,34,1010,MIT License,2011-02-17T02:07:15Z,2016-11-03T13:22:00Z,2016-11-03T19:25:40Z
facebookresearch,fastText,C++,5388,142,1,15,40,0,720,"BSD 3-clause ""New"" or ""Revised"" License",2016-07-16T13:38:42Z,2016-10-26T12:28:54Z,2016-11-03T18:44:48Z
tmux,tmux,C,5386,5,2,7,3,17,396,Other,2015-06-03T23:32:55Z,2016-11-02T14:01:13Z,2016-11-03T15:40:26Z
getgrav,grav,PHP,5382,3,18,82,71,85,454,MIT License,2014-08-02T18:29:10Z,2016-11-02T00:07:16Z,2016-11-03T17:17:45Z
nhaarman,ListViewAnimations,Java,5378,609,6,14,86,25,1867,Apache License 2.0,2013-03-19T11:59:23Z,2016-11-03T13:04:11Z,2016-11-03T13:04:28Z
twostairs,paperwork,PHP,5371,1,18,40,128,2,514,MIT License,2014-07-03T13:42:20Z,2016-11-01T13:59:54Z,2016-11-03T17:04:05Z
shipyard,shipyard,JavaScript,5367,1,8,41,174,8,692,Apache License 2.0,2013-06-16T07:25:25Z,2016-10-05T14:16:47Z,2016-11-03T18:41:58Z
go-kit,kit,Go,5367,927,5,70,22,2,467,MIT License,2015-02-03T00:01:19Z,2016-11-03T03:26:25Z,2016-11-03T16:11:26Z
octalmage,robotjs,C,5362,447,19,27,39,28,244,MIT License,2014-08-31T14:13:47Z,2016-10-24T14:07:30Z,2016-11-03T20:20:45Z
eclipse,vert.x,Java,5360,2,156,79,127,66,1022,Other,2011-06-17T14:54:55Z,2016-11-03T13:03:08Z,2016-11-03T20:01:45Z
es-shims,es5-shim,JavaScript,5359,921,6,70,39,82,713,MIT License,2010-09-16T05:54:16Z,2016-10-31T20:06:12Z,2016-11-03T12:51:11Z
mobxjs,mobx,JavaScript,5354,1,19,49,51,113,226,MIT License,2015-03-14T14:31:38Z,2016-11-03T18:33:35Z,2016-11-03T16:15:49Z
beetbox,beets,Python,5350,7,16,200,419,45,888,MIT License,2010-08-09T23:17:20Z,2016-11-01T15:07:15Z,2016-11-02T21:13:07Z
facebook,chisel,Python,5350,307,7,33,23,6,452,"BSD 3-clause ""New"" or ""Revised"" License",2014-02-21T18:24:17Z,2016-10-02T01:34:33Z,2016-11-03T16:06:36Z
ty4z2008,Qix,,5346,1,2,5,0,1,2399,MIT License,2014-04-20T11:03:15Z,2016-10-29T07:24:30Z,2016-11-03T17:29:30Z
angular,material2,TypeScript,5339,598,2,74,287,10,1037,MIT License,2016-01-04T18:50:02Z,2016-11-03T20:08:36Z,2016-11-03T18:35:26Z
Nickersoft,push.js,JavaScript,5337,82,3,8,13,10,215,MIT License,2015-07-20T01:46:04Z,2016-10-30T00:28:34Z,2016-11-03T13:27:35Z
philipwalton,flexbugs,,5337,86,2,8,48,0,146,MIT License,2015-01-02T05:29:32Z,2016-10-24T19:23:41Z,2016-11-03T15:37:38Z
b4winckler,macvim,C,5336,7,3,32,12,54,465,None,2010-05-29T16:38:11Z,2016-07-17T16:31:38Z,2016-11-01T16:11:29Z
nightwatchjs,nightwatch,JavaScript,5332,1,5,52,174,119,473,MIT License,2012-03-17T21:28:18Z,2016-11-03T00:35:15Z,2016-11-03T20:13:09Z
codeguy,php-the-right-way,CSS,5331,1,1,563,62,0,2489,Other,2012-07-06T20:49:45Z,2016-10-28T21:51:41Z,2016-11-03T03:19:27Z
odoo,odoo,Python,5330,106,21,525,3234,79,5054,Other,2014-05-13T15:38:58Z,2016-11-03T19:32:34Z,2016-11-03T18:15:35Z
metalsmith,metalsmith,JavaScript,5329,308,2,43,44,41,461,None,2014-02-04T03:46:22Z,2016-11-03T19:29:15Z,2016-11-02T14:49:43Z
Tencent,tinker,Java,5328,72,3,7219,4,8,933,Other,2016-09-06T06:57:52Z,2016-11-03T18:39:22Z,2016-11-03T15:41:59Z
popcorn-time,popcorn-app,CSS,5327,2,5,1,189,3,2074,None,2014-02-19T15:59:58Z,2015-06-25T19:15:19Z,2016-11-02T09:41:24Z
greensock,GreenSock-JS,JavaScript,5322,114,1,2,5,47,813,None,2012-09-21T18:03:25Z,2016-08-12T03:49:05Z,2016-11-03T11:13:14Z
florent37,MaterialViewPager,Java,5317,284,4,16,143,12,1096,Apache License 2.0,2015-04-24T17:53:15Z,2016-08-20T18:14:50Z,2016-11-03T10:41:23Z
akveo,blur-admin,JavaScript,5315,446,4,11,102,4,1041,MIT License,2016-04-08T08:30:20Z,2016-10-19T12:37:36Z,2016-11-03T17:34:03Z
tj,n,Shell,5314,395,3,54,69,49,349,None,2011-01-05T14:53:19Z,2016-10-28T17:11:03Z,2016-11-03T19:07:53Z
geeeeeeeeek,electronic-wechat,JavaScript,5305,192,5,27,55,9,861,MIT License,2016-02-18T09:09:53Z,2016-10-31T03:54:47Z,2016-11-03T15:57:57Z
jhipster,generator-jhipster,JavaScript,5298,7,6,254,36,114,1164,Apache License 2.0,2013-10-21T20:07:22Z,2016-11-03T19:33:57Z,2016-11-03T13:00:27Z
HubSpot,odometer,CSS,5293,266,3,11,58,15,401,MIT License,2013-10-08T21:32:22Z,2016-10-10T06:12:56Z,2016-11-03T10:02:01Z
SFTtech,openage,C++,5292,2,1,91,169,7,512,Other,2013-11-03T22:35:23Z,2016-11-03T20:08:22Z,2016-11-03T19:59:35Z
codecombat,codecombat,CoffeeScript,5286,12,39,527,311,0,2600,MIT License,2013-12-14T21:47:37Z,2016-11-03T20:09:36Z,2016-11-03T09:29:23Z
louischatriot,nedb,JavaScript,5281,849,15,28,64,2,350,MIT License,2013-05-01T17:12:17Z,2016-10-25T11:29:31Z,2016-11-03T19:42:00Z
gabrielbull,react-desktop,JavaScript,5277,416,2,10,10,15,199,MIT License,2015-10-14T02:22:59Z,2016-10-14T15:26:57Z,2016-11-03T09:18:44Z
airyland,vux,Vue,5276,996,8,32,61,16,986,None,2016-02-15T03:23:27Z,2016-11-03T04:59:55Z,2016-11-03T17:40:47Z
marcuswestin,store.js,JavaScript,5274,296,3,27,29,25,728,MIT License,2010-06-27T20:29:33Z,2016-06-25T10:37:14Z,2016-11-03T17:34:17Z
yangyangwithgnu,hardseed,C++,5273,197,1,2,12,0,1153,GNU General Public License v2.0,2014-07-17T04:50:32Z,2016-09-01T02:52:38Z,2016-11-03T09:45:01Z
android,platform_frameworks_base,Java,5273,252,77,499,84,302,4140,Other,2008-10-21T18:20:37Z,2016-11-03T18:07:45Z,2016-11-03T20:13:54Z
open-power-workgroup,Hospital,HTML,5270,666,4,44,39,0,999,Other,2016-05-01T14:59:21Z,2016-08-23T14:27:16Z,2016-11-03T10:15:07Z
gotwarlost,istanbul,JavaScript,5268,569,7,86,253,58,535,"BSD 3-clause ""New"" or ""Revised"" License",2012-09-12T06:36:32Z,2016-10-30T23:04:40Z,2016-11-03T13:33:00Z
FelisCatus,SwitchyOmega,CoffeeScript,5264,314,1,19,62,50,1081,GNU General Public License v3.0,2012-06-08T15:32:30Z,2016-10-31T12:15:04Z,2016-11-03T16:18:22Z
primer,primer,CSS,5263,416,12,36,1,106,380,MIT License,2015-03-19T23:31:21Z,2016-10-31T17:15:45Z,2016-11-03T12:52:44Z
prestodb,presto,Java,5260,8,3,153,712,168,1634,Apache License 2.0,2012-08-09T01:03:37Z,2016-11-03T20:03:41Z,2016-11-03T16:27:35Z
facebook,nuclide,JavaScript,5258,7,3,113,225,92,368,Other,2015-03-02T05:25:27Z,2016-11-03T18:39:48Z,2016-11-03T17:52:03Z
flarum,flarum,ApacheConf,5255,249,1,11,2,6,558,MIT License,2014-12-30T11:13:08Z,2016-10-19T10:55:09Z,2016-11-03T12:44:47Z
CachetHQ,Cachet,PHP,5252,3,22,102,75,46,620,"BSD 3-clause ""New"" or ""Revised"" License",2014-11-16T22:23:11Z,2016-11-02T21:47:09Z,2016-11-03T12:32:49Z
dc-js,dc.js,JavaScript,5252,2,19,16,319,69,1370,Apache License 2.0,2012-06-19T14:20:30Z,2016-10-11T07:25:57Z,2016-11-03T16:18:22Z
StackExchange,dapper-dot-net,C#,5251,1,10,103,179,53,1603,Other,2011-04-14T08:42:59Z,2016-10-31T21:11:46Z,2016-11-03T15:12:28Z
vitalets,x-editable,JavaScript,5249,565,4,25,532,15,1053,MIT License,2012-11-19T14:12:46Z,2016-08-24T13:58:37Z,2016-11-03T20:09:12Z
coolwanglu,pdf2htmlEX,C++,5246,1,8,19,165,16,746,Other,2012-08-04T17:59:25Z,2016-10-28T09:09:52Z,2016-11-03T15:27:15Z
ExactTarget,fuelux,JavaScript,5244,2,24,47,89,69,1150,"BSD 3-clause ""New"" or ""Revised"" License",2012-07-06T12:12:47Z,2016-11-03T15:26:02Z,2016-11-03T14:37:52Z
octobercms,october,PHP,5242,3,3,176,213,0,1284,None,2013-11-26T23:30:43Z,2016-11-03T11:16:27Z,2016-11-03T15:23:33Z
