owner,name,language,stargazers_count,commit_count,branch_count,release_count,open_issues_count,contributor_count,forks_count,license,created_at,pushed_at,updated_at
niklasvh,html2canvas,JavaScript,7136,678,5,20,572,13,1626,MIT License,2011-07-16T01:05:58Z,2016-11-03T14:22:01Z,2016-11-03T17:53:42Z
handsontable,handsontable,JavaScript,7133,4,36,53,507,123,1583,MIT License,2011-05-23T22:38:58Z,2016-11-03T13:32:56Z,2016-11-03T18:08:03Z
ejci,favico.js,JavaScript,7132,180,3,32,33,13,491,GNU General Public License v2.0,2013-09-09T17:43:18Z,2016-06-15T10:19:34Z,2016-11-03T15:28:04Z
scala,scala,Scala,7109,26,11,291,69,109,1793,"BSD 3-clause ""New"" or ""Revised"" License",2011-12-01T05:02:34Z,2016-11-03T16:59:12Z,2016-11-03T18:12:28Z
PHPOffice,PHPExcel,PHP,7104,1,13,62,572,13,2424,Other,2012-06-18T15:30:27Z,2016-11-02T07:31:11Z,2016-11-03T19:42:36Z
mishoo,UglifyJS,JavaScript,7101,540,2,37,150,25,654,None,2010-08-15T11:51:16Z,2016-09-27T00:27:14Z,2016-11-03T12:08:36Z
scrooloose,nerdtree,VimL,7097,887,11,75,264,21,793,Do What The F*ck You Want To Public License,2008-03-10T07:34:08Z,2016-10-21T13:51:37Z,2016-11-03T20:08:28Z
jordansissel,fpm,Ruby,7090,1,12,189,385,71,728,MIT License,2011-01-03T20:07:59Z,2016-10-29T04:01:36Z,2016-11-03T13:20:35Z
airbnb,enzyme,JavaScript,7087,614,5,150,107,19,517,MIT License,2015-11-10T21:45:38Z,2016-11-02T23:05:56Z,2016-11-03T19:45:21Z
chinchang,hint.css,CSS,7084,248,6,19,39,22,702,GNU Affero General Public License v3.0,2012-12-30T20:17:34Z,2016-11-01T20:30:20Z,2016-11-03T17:15:30Z
mrmrs,colors,CSS,7080,166,2,18,10,4,414,MIT License,2013-06-17T06:31:51Z,2016-10-01T17:00:50Z,2016-11-03T04:46:26Z
jaywcjlove,awesome-mac,JavaScript,7072,441,2,52,21,0,742,MIT License,2016-07-17T15:33:47Z,2016-11-02T08:58:05Z,2016-11-03T13:49:49Z
path,FastImageCache,Objective-C,7065,132,3,24,27,7,848,MIT License,2013-08-21T22:44:53Z,2016-09-13T14:06:16Z,2016-11-03T12:42:47Z
vuejs,awesome-vue,,7065,677,2,285,14,0,881,None,2015-10-20T00:16:14Z,2016-11-03T18:19:27Z,2016-11-03T19:51:08Z
carlhuda,janus,VimL,7056,929,2,128,83,1,829,None,2010-08-08T21:13:48Z,2016-11-01T00:30:32Z,2016-11-03T15:59:25Z
carrierwaveuploader,carrierwave,Ruby,7054,2,7,283,94,47,1251,None,2008-08-28T18:39:49Z,2016-10-31T02:58:12Z,2016-11-03T03:21:54Z
paperjs,paper.js,JavaScript,7037,6,9,55,132,37,719,MIT License,2011-02-07T18:21:30Z,2016-10-21T21:19:07Z,2016-11-03T15:42:13Z
marionettejs,backbone.marionette,JavaScript,7018,3,17,308,81,136,1368,Other,2011-12-12T16:36:09Z,2016-11-02T13:32:29Z,2016-11-03T09:25:54Z
saltstack,salt,Python,7016,75,18,1,3985,136,3209,Other,2011-02-20T20:16:56Z,2016-11-03T19:19:14Z,2016-11-03T15:30:41Z
dotnet,coreclr,C#,7007,8,5,304,997,7,1702,MIT License,2015-01-30T22:10:02Z,2016-11-03T19:48:56Z,2016-11-03T14:15:52Z
slackhq,SlackTextViewController,Objective-C,6994,1,4,59,26,34,800,MIT License,2014-08-18T18:46:06Z,2016-10-27T19:53:48Z,2016-11-03T20:01:38Z
aymericdamien,TensorFlow-Examples,Jupyter Notebook,6992,133,2,20,19,0,1448,MIT License,2015-11-11T14:21:19Z,2016-10-09T16:48:42Z,2016-11-03T20:06:35Z
rapid7,metasploit-framework,Ruby,6986,40,17,387,326,93,4557,Other,2011-08-30T06:13:20Z,2016-11-03T17:58:47Z,2016-11-03T18:48:12Z
jessepollak,card,JavaScript,6983,322,15,16,33,37,712,MIT License,2013-12-27T02:31:51Z,2016-10-27T17:53:34Z,2016-11-03T18:19:29Z
goldfire,howler.js,JavaScript,6979,574,2,49,70,48,731,MIT License,2013-01-28T16:47:12Z,2016-11-03T18:54:14Z,2016-11-03T18:02:13Z
alsotang,node-lessons,JavaScript,6974,235,1,17,63,0,2706,None,2014-10-05T09:57:08Z,2016-07-08T07:22:35Z,2016-11-03T15:45:33Z
jzaefferer,jquery-validation,JavaScript,6973,725,1,157,116,15,2137,MIT License,2010-05-05T13:40:20Z,2016-11-03T09:43:30Z,2016-11-03T09:32:43Z
rwaldron,johnny-five,JavaScript,6966,2,25,115,140,53,996,None,2012-03-30T20:09:52Z,2016-11-02T16:16:35Z,2016-11-03T14:59:30Z
avajs,ava,JavaScript,6966,885,10,87,144,23,332,MIT License,2014-11-18T17:20:26Z,2016-11-02T02:54:21Z,2016-11-03T18:52:27Z
qrohlf,trianglify,JavaScript,6950,142,5,8,2,12,531,GNU General Public License v3.0,2014-04-12T04:30:29Z,2016-08-09T17:05:10Z,2016-11-03T15:24:37Z
dthree,cash,JavaScript,6941,161,5,17,32,0,179,MIT License,2016-02-22T16:34:24Z,2016-09-18T06:11:13Z,2016-11-03T14:03:58Z
Automattic,_s,CSS,6932,982,10,110,62,0,2318,None,2012-02-01T17:59:49Z,2016-10-26T12:43:16Z,2016-11-03T17:12:54Z
bbatsov,rubocop,Ruby,6932,5,4,308,149,81,1073,MIT License,2012-04-21T10:09:58Z,2016-11-03T06:22:07Z,2016-11-03T14:51:07Z
activeadmin,activeadmin,Ruby,6928,4,18,488,232,31,2548,MIT License,2010-04-15T14:26:03Z,2016-10-30T21:18:51Z,2016-11-03T10:30:44Z
geekcompany,ResumeSample,,6922,24,1,0,4,0,2745,None,2014-09-08T08:08:13Z,2015-12-14T12:13:07Z,2016-11-03T17:36:45Z
nagadomi,waifu2x,Lua,6922,496,3,18,24,5,825,MIT License,2015-05-17T07:29:15Z,2016-10-20T01:17:20Z,2016-11-03T16:30:51Z
Netflix,falcor,JavaScript,6918,1,5,39,88,28,293,Apache License 2.0,2015-02-13T00:17:50Z,2016-10-14T15:44:24Z,2016-11-03T11:39:46Z
